"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"BRM02","BURUM","0079","KLM02","KOLLUMERLAND EN NIEUWKRUISLAND","20","LEEUWARDEN",20127
"BRN00","BUREN","0214","BRN00","BUREN","25","ARNHEM",20128
"BRO00","BROEK IN WATERLAND","0852","WTL00","WATERLAND","24","ALKMAAR",20129
"BSC00","BEUSICHEM","0214","BRN00","BUREN","25","ARNHEM",20130
"BSG00","BARSINGERHORN","1911","HLS00","HOLLANDS KROON","24","ALKMAAR",20131
"BSH00","BERGSCHENHOEK","1621","LSG00","LANSINGERLAND","15","ROTTERDAM",20132
"BSL01","BORSELE","0654","BSL01","BORSELE","12","MIDDELBURG",20133
"BSL02","BEESEL","0889","BSL02","BEESEL","18","ROERMOND",20134
"BSM01","BUSSUM","0381","BSM01","BUSSUM","14","AMSTERDAM",20135
"BSM02","BRUNSSUM","0899","BSM02","BRUNSSUM","18","ROERMOND",20136
"BSP00","BENSCHOP","0331","LPK00","LOPIK","17","UTRECHT",20137
"BSR00","BEEMSTER","0370","BSR00","BEEMSTER","24","ALKMAAR",20138
"BST01","BUNSCHOTEN","0313","BST01","BUNSCHOTEN","17","UTRECHT",20139
"BSZ00","BEETSTERZWAAG","0086","OSL00","OPSTERLAND","20","LEEUWARDEN",20140
"BTA00","BEERTA","1895","OAT00","OLDAMBT","22","GRONINGEN",20141
"BTB00","BATENBURG","0296","WCN00","WIJCHEN","25","ARNHEM",20142
"BTL00","BOXTEL","0757","BTL00","BOXTEL","19","EINDHOVEN",20143
"BTP00","BUITENPOST","0059","AKS02","ACHTKARSPELEN","20","LEEUWARDEN",20144
"BVW00","BEVERWIJK","0375","BVW00","BEVERWIJK","24","ALKMAAR",20145
"BWD01","BOLSWARD","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20146
"BWD02","BURGWERD","1900","FLN00","SUDWEST FRYSLAN","20","LEEUWARDEN",20147
"BWH00","BROUWERSHAVEN","1676","SWN00","SCHOUWEN-DUIVELAND","12","MIDDELBURG",20148
"BWK01","BRANDWIJK","1927","MLW00","MOLENWAARD","15","ROTTERDAM",20149
"BWK02","BLEISWIJK","1621","LSG00","LANSINGERLAND","15","ROTTERDAM",20150
"BWW00","BARWOUTSWAARDER","0632","WDN01","WOERDEN","17","UTRECHT",20151
"BXM00","BAEXEM","1640","LDL00","LEUDAL","18","ROERMOND",20152
"BZL00","BLOKZIJL","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20153
"CDR00","CADIER EN KEER","1903","EDN01","EIJSDEN-MARGRATEN","18","ROERMOND",20154
"CHA00","CHAAM","1723","APN03","ALPHEN-CHAAM","13","BREDA",20155
"CLB00","CULEMBORG","0216","CLB00","CULEMBORG","25","ARNHEM",20156
"CLO00","CALLANTSOOG","0441","SGN00","SCHAGEN","24","ALKMAAR",20157
"CLS00","CHARLOIS","0599","RTD01","ROTTERDAM","15","ROTTERDAM",20158
"CPL01","CAPELLE AAN DEN IJSSEL","0502","CPL01","CAPELLE AAN DEN IJSSEL","15","ROTTERDAM",20159
"CPL02","CAPELLE","0867","WWK00","WAALWIJK","13","BREDA",20160
"CTC00","CASTRICUM","0383","CTC00","CASTRICUM","24","ALKMAAR",20161
"CTN00","COTHEN","0352","WIJ01","WIJK BIJ DUURSTEDE","17","UTRECHT",20162
"CTR00","CATHARIJNE","0344","UTT00","UTRECHT","17","UTRECHT",20163
"CUI00","CUIJK","1684","CUI00","CUIJK","19","EINDHOVEN",20164
